,0,1
0,movie,51638
1,film,39192
2,one,16503
3,see,16385
4,make,16018
5,like,15629
6,end,13828
7,time,13357
8,good,12769
9,watch,12549
10,get,12210
11,story,11807
12,think,10805
13,character,10721
14,really,10409
15,well,10184
16,horror,10009
17,great,9213
18,go,8544
19,plot,8380
20,say,8262
21,scene,7903
22,know,7853
23,way,7784
24,act,7389
25,people,7291
26,much,7278
27,even,7275
28,give,7241
29,thing,6709
30,take,6135
31,first,5983
32,come,5868
33,also,5799
34,feel,5636
35,twist,5549
36,best,5450
37,find,5317
38,many,5237
39,want,5161
40,bad,5074
41,work,4827
42,look,4755
43,performance,4663
44,something,4637
45,play,4449
46,seem,4353
47,start,4324
48,love,4314
49,never,4222
50,leave,4211
51,happen,4198
52,try,4144
53,two,4048
54,keep,4015
55,tell,3990
56,director,3741
57,point,3709
58,lot,3687
59,show,3681
60,ever,3678
61,thriller,3661
62,still,3660
63,part,3617
64,wife,3612
65,audience,3572
66,actor,3518
67,life,3471
68,man,3447
69,long,3441
70,begin,3435
71,little,3416
72,year,3401
73,write,3395
74,family,3385
75,use,3335
76,turn,3323
77,cast,3309
78,review,3249
79,mystery,3203
80,every,3165
81,minute,3151
82,hour,3010
83,whole,2989
84,mind,2975
85,real,2967
86,sense,2931
87,back,2912
88,actually,2882
89,last,2748
90,nothing,2712
91,need,2678
92,moment,2659
93,though,2637
94,enjoy,2619
95,bit,2600
96,believe,2595
97,everything,2592
98,viewer,2584
99,do,2583
