,0,1
0,movie,43325
1,film,31924
2,one,14940
3,make,14717
4,like,14296
5,see,14251
6,time,13080
7,good,12190
8,character,11838
9,story,11501
10,scene,10778
11,get,10423
12,well,10061
13,great,9862
14,really,8284
15,watch,8129
16,think,7661
17,much,7660
18,say,6951
19,end,6531
20,action,6508
21,even,6490
22,take,6377
23,give,6300
24,way,6213
25,go,6006
26,know,5897
27,look,5896
28,also,5628
29,people,5584
30,love,5501
31,best,5416
32,act,5293
33,many,5227
34,first,5204
35,come,5145
36,thing,5005
37,long,4881
38,effect,4681
39,actor,4523
40,hour,4498
41,bad,4497
42,feel,4486
43,year,4282
44,want,4147
45,show,4116
46,find,4046
47,performance,4016
48,seem,4015
49,part,3890
50,play,3877
51,work,3870
52,never,3835
53,plot,3775
54,fight,3769
55,still,3746
56,back,3738
57,ever,3573
58,big,3557
59,little,3500
60,battle,3480
61,lot,3438
62,man,3387
63,life,3312
64,role,3296
65,original,3170
66,use,3166
67,cast,3129
68,director,3053
69,real,3030
70,set,3001
71,two,2989
72,epic,2947
73,every,2875
74,special,2831
75,point,2800
76,though,2788
77,leave,2785
78,try,2779
79,tell,2779
80,something,2748
81,do,2731
82,kill,2693
83,minute,2677
84,need,2641
85,start,2587
86,bit,2560
87,screen,2513
88,moment,2402
89,world,2367
90,another,2336
91,last,2331
92,new,2327
93,old,2310
94,nothing,2300
95,enjoy,2272
96,quite,2266
97,far,2242
98,enough,2239
99,audience,2235
