,0,1
0,movie,29907
1,film,25369
2,make,11410
3,one,11390
4,like,9867
5,see,9740
6,story,9432
7,time,8998
8,great,8280
9,watch,7816
10,good,7546
11,character,7213
12,get,6945
13,well,6718
14,scene,6250
15,best,5857
16,really,5616
17,people,5314
18,life,5251
19,think,4866
20,performance,4771
21,say,4642
22,much,4520
23,even,4486
24,way,4436
25,give,4419
26,act,4344
27,show,4340
28,know,4301
29,also,4204
30,actor,4086
31,take,4075
32,love,3950
33,end,3839
34,feel,3809
35,many,3648
36,work,3626
37,play,3619
38,go,3616
39,year,3563
40,come,3317
41,long,3299
42,ever,3298
43,thing,3191
44,look,3155
45,never,3121
46,hour,3104
47,man,3060
48,want,3054
49,real,2968
50,first,2901
51,tell,2888
52,cast,2729
53,every,2606
54,TRUE,2547
55,still,2496
56,two,2461
57,role,2438
58,use,2371
59,part,2286
60,find,2260
61,lot,2234
62,musical,2187
63,old,2183
64,bad,2152
65,seem,2148
66,music,2050
67,little,2033
68,something,2011
69,start,2009
70,history,1966
71,director,1962
72,point,1955
73,world,1942
74,big,1931
75,race,1853
76,need,1808
77,write,1788
78,gangster,1777
79,become,1776
80,back,1751
81,try,1728
82,fact,1728
83,guy,1722
84,enjoy,1720
85,do,1706
86,car,1702
87,money,1692
88,song,1691
89,always,1655
90,moment,1645
91,right,1600
92,live,1599
93,job,1594
94,though,1591
95,base,1586
96,audience,1566
97,minute,1543
98,put,1537
99,another,1536
