,0,1
0,movie,4802
1,show,3614
2,like,2786
3,character,2753
4,family,2680
5,film,2621
6,watch,2436
7,one,2345
8,make,2210
9,good,2030
10,see,2028
11,love,1967
12,get,1833
13,story,1675
14,time,1636
15,really,1521
16,well,1409
17,think,1325
18,people,1295
19,great,1158
20,much,1113
21,end,1102
22,funny,1073
23,way,1049
24,even,1041
25,say,1041
26,go,1014
27,comedy,1003
28,life,978
29,know,974
30,give,948
31,season,936
32,cast,930
33,feel,920
34,want,919
35,episode,912
36,thing,912
37,series,888
38,first,877
39,scene,865
40,bad,861
41,come,859
42,act,852
43,many,832
44,look,831
45,also,793
46,actor,788
47,every,743
48,play,730
49,find,724
50,plot,699
51,year,693
52,laugh,684
53,try,684
54,take,667
55,seem,657
56,write,641
57,lot,633
58,best,622
59,enjoy,603
60,never,599
61,real,583
62,work,583
63,something,575
64,rich,573
65,mother,554
66,little,541
67,need,530
68,moment,511
69,part,506
70,two,496
71,start,483
72,fun,481
73,review,478
74,still,461
75,romantic,459
76,new,455
77,enough,448
78,woman,447
79,line,444
80,bit,443
81,ever,442
82,expect,433
83,day,432
84,point,431
85,girl,430
86,nothing,430
87,drama,428
88,old,419
89,whole,416
90,tell,416
91,another,408
92,back,406
93,mean,403
94,live,402
95,role,400
96,actually,396
97,different,394
98,leave,393
99,couple,386
