,0,1
0,show,12688
1,season,6324
2,like,5750
3,watch,5673
4,character,5436
5,movie,5031
6,good,4783
7,one,4744
8,get,4421
9,make,4341
10,series,4291
11,episode,4131
12,story,4003
13,see,3926
14,really,3560
15,well,3344
16,time,3314
17,love,3294
18,great,3231
19,film,3131
20,first,2681
21,end,2644
22,think,2616
23,much,2430
24,horror,2379
25,go,2358
26,thing,2337
27,say,2298
28,know,2215
29,act,2204
30,even,2167
31,give,2118
32,bad,2086
33,way,2068
34,people,1970
35,come,1934
36,start,1870
37,actor,1789
38,plot,1746
39,best,1734
40,take,1721
41,also,1640
42,many,1619
43,every,1618
44,want,1610
45,find,1555
46,look,1548
47,write,1512
48,two,1506
49,feel,1485
50,work,1376
51,never,1366
52,scene,1343
53,something,1336
54,still,1300
55,fan,1290
56,lot,1290
57,keep,1279
58,back,1263
59,year,1234
60,play,1233
61,personality,1225
62,new,1221
63,brother,1217
64,try,1209
65,seem,1199
66,cast,1166
67,different,1147
68,girl,1103
69,ever,1095
70,little,1063
71,part,1052
72,enjoy,1028
73,life,1002
74,need,999
75,main,959
76,always,954
77,review,939
78,happen,934
79,last,910
80,another,908
81,far,905
82,supernatural,903
83,performance,903
84,dark,897
85,become,888
86,point,888
87,use,875
88,everything,874
89,line,873
90,wait,872
91,next,851
92,bit,850
93,writer,848
94,kill,841
95,nothing,837
96,monster,835
97,hope,833
98,actually,828
99,turn,823
