,0,1
0,movie,63022
1,film,41666
2,time,21979
3,one,21056
4,make,19462
5,like,19172
6,see,18715
7,character,15058
8,good,13646
9,story,13628
10,watch,13582
11,get,13501
12,action,13325
13,great,12211
14,think,11709
15,well,11692
16,really,11128
17,scene,9788
18,say,9585
19,plot,9173
20,best,9006
21,much,8922
22,even,8604
23,go,8502
24,end,8347
25,effect,8239
26,dream,8062
27,way,7937
28,know,7871
29,first,7625
30,give,7595
31,world,7333
32,thing,7300
33,also,7194
34,people,7186
35,take,7118
36,love,6756
37,come,6660
38,many,6426
39,year,6103
40,feel,6085
41,look,6073
42,back,5892
43,act,5766
44,work,5658
45,mind,5467
46,ever,5442
47,want,5426
48,idea,5384
49,still,5148
50,find,5102
51,lot,4892
52,never,4867
53,bad,4789
54,new,4785
55,use,4731
56,special,4645
57,something,4621
58,actor,4374
59,try,4373
60,understand,4341
61,play,4333
62,seem,4305
63,real,4271
64,part,4257
65,future,4233
66,need,4203
67,space,4174
68,big,4094
69,every,4041
70,little,3954
71,original,3942
72,leave,3936
73,show,3896
74,human,3849
75,life,3747
76,cast,3730
77,two,3642
78,point,3624
79,start,3621
80,science,3565
81,long,3514
82,sci,3484
83,fan,3482
84,tell,3446
85,another,3421
86,audience,3346
87,whole,3333
88,keep,3307
89,performance,3279
90,happen,3278
91,director,3208
92,everything,3177
93,review,3172
94,write,3134
95,set,3126
96,must,3114
97,though,3092
98,actually,3083
99,star,3075
