,0,1
0,movie,32779
1,film,30905
2,war,16068
3,one,13501
4,make,11489
5,see,10850
6,like,10660
7,scene,9054
8,time,8680
9,character,8667
10,story,8540
11,get,7287
12,good,7207
13,great,6933
14,watch,6664
15,well,6406
16,soldier,6088
17,really,5793
18,think,5357
19,say,5261
20,best,5190
21,way,5116
22,much,5006
23,take,5004
24,end,4866
25,give,4648
26,even,4639
27,feel,4563
28,know,4456
29,go,4400
30,show,4400
31,also,4376
32,people,4222
33,first,4172
34,many,4034
35,act,3815
36,come,3680
37,thing,3441
38,work,3355
39,ever,3350
40,look,3235
41,two,3229
42,part,3217
43,shot,3117
44,never,3085
45,find,3025
46,love,2970
47,action,2964
48,performance,2958
49,actor,2941
50,real,2925
51,want,2897
52,tell,2797
53,seem,2697
54,play,2690
55,life,2679
56,year,2677
57,use,2619
58,kill,2583
59,experience,2582
60,point,2580
61,director,2566
62,bad,2508
63,long,2444
64,every,2427
65,little,2405
66,still,2378
67,battle,2305
68,moment,2299
69,man,2285
70,lot,2255
71,try,2206
72,plot,2204
73,set,2183
74,something,2161
75,men,2093
76,back,2088
77,leave,2071
78,start,2031
79,cinematography,2019
80,history,1996
81,line,1992
82,young,1991
83,happen,1946
84,fight,1908
85,another,1897
86,without,1894
87,different,1894
88,cast,1854
89,big,1836
90,audience,1816
91,dialogue,1816
92,almost,1796
93,sound,1791
94,felt,1791
95,half,1786
96,TRUE,1780
97,screen,1779
98,write,1776
99,horror,1768
